architechure = alexnet, prune_ratio = 20, bit = 5, direction = br, acc = 0.807
architechure = alexnet, prune_ratio = 20, bit = 6, direction = br, acc = 0.7922
architechure = alexnet, prune_ratio = 20, bit = 7, direction = br, acc = 0.8032
architechure = alexnet, prune_ratio = 20, bit = 8, direction = br, acc = 0.8065
architechure = alexnet, prune_ratio = 30, bit = 4, direction = br, acc = 0.777
architechure = alexnet, prune_ratio = 30, bit = 5, direction = br, acc = 0.8127
architechure = alexnet, prune_ratio = 30, bit = 6, direction = br, acc = 0.8092
architechure = alexnet, prune_ratio = 30, bit = 7, direction = br, acc = 0.8149
architechure = alexnet, prune_ratio = 30, bit = 8, direction = br, acc = 0.8149
architechure = alexnet, prune_ratio = 40, bit = 4, direction = br, acc = 0.7991
architechure = alexnet, prune_ratio = 40, bit = 5, direction = br, acc = 0.8231
architechure = alexnet, prune_ratio = 40, bit = 6, direction = br, acc = 0.8174
architechure = alexnet, prune_ratio = 40, bit = 7, direction = br, acc = 0.8247
architechure = alexnet, prune_ratio = 40, bit = 8, direction = br, acc = 0.8261
architechure = alexnet, prune_ratio = 50, bit = 4, direction = br, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = br, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = br, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = br, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = br, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tl, acc = 0.4513
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tl, acc = 0.6252
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tl, acc = 0.5917
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tl, acc = 0.6374
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tl, acc = 0.654
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tl, acc = 0.551
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tl, acc = 0.6943
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tl, acc = 0.6648
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tl, acc = 0.697
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tl, acc = 0.7004
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tl, acc = 0.6719
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tl, acc = 0.7501
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tl, acc = 0.7334
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tl, acc = 0.75
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tl, acc = 0.7491
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tl, acc = 0.7587
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tl, acc = 0.7946
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tl, acc = 0.7832
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tl, acc = 0.7944
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tl, acc = 0.7944
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tl, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tl, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tl, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tl, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tl, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1036
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1086
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1043
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1041
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1083
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1036
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1111
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1108
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1094
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1134
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1944
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tr, acc = 0.2583
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tr, acc = 0.2512
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tr, acc = 0.2767
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tr, acc = 0.2768
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tr, acc = 0.4957
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tr, acc = 0.6202
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tr, acc = 0.573
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tr, acc = 0.6207
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tr, acc = 0.6184
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tr, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8387
architechure = resnet34, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8588
architechure = resnet34, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8767
architechure = resnet34, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8663
architechure = resnet34, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8813
architechure = resnet34, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8844
architechure = resnet34, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8367
architechure = resnet34, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8746
architechure = resnet34, prune_ratio = 20, bit = 6, direction = bl, acc = 0.865
architechure = resnet34, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8804
architechure = resnet34, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8807
architechure = resnet34, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8752
architechure = resnet34, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8898
architechure = resnet34, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8843
architechure = resnet34, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8931
architechure = resnet34, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8923
architechure = resnet34, prune_ratio = 40, bit = 4, direction = bl, acc = 0.881
architechure = resnet34, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8961
architechure = resnet34, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8954
architechure = resnet34, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8965
architechure = resnet34, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8984
architechure = resnet34, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = bl, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = br, acc = 0.7631
architechure = resnet34, prune_ratio = 10, bit = 5, direction = br, acc = 0.8128
architechure = resnet34, prune_ratio = 10, bit = 6, direction = br, acc = 0.8008
architechure = resnet34, prune_ratio = 10, bit = 7, direction = br, acc = 0.8248
architechure = resnet34, prune_ratio = 10, bit = 8, direction = br, acc = 0.8325
architechure = resnet34, prune_ratio = 20, bit = 4, direction = br, acc = 0.7879
architechure = resnet34, prune_ratio = 20, bit = 5, direction = br, acc = 0.8424
architechure = resnet34, prune_ratio = 20, bit = 6, direction = br, acc = 0.8252
architechure = resnet34, prune_ratio = 20, bit = 7, direction = br, acc = 0.8519
architechure = resnet34, prune_ratio = 20, bit = 8, direction = br, acc = 0.8528
architechure = resnet34, prune_ratio = 30, bit = 4, direction = br, acc = 0.858
architechure = resnet34, prune_ratio = 30, bit = 5, direction = br, acc = 0.8731
architechure = resnet34, prune_ratio = 30, bit = 6, direction = br, acc = 0.8665
architechure = resnet34, prune_ratio = 30, bit = 7, direction = br, acc = 0.877
architechure = resnet34, prune_ratio = 30, bit = 8, direction = br, acc = 0.8784
architechure = resnet34, prune_ratio = 40, bit = 4, direction = br, acc = 0.8735
architechure = resnet34, prune_ratio = 40, bit = 5, direction = br, acc = 0.8905
architechure = resnet34, prune_ratio = 40, bit = 6, direction = br, acc = 0.8864
architechure = resnet34, prune_ratio = 40, bit = 7, direction = br, acc = 0.8904
architechure = resnet34, prune_ratio = 40, bit = 8, direction = br, acc = 0.8922
architechure = resnet34, prune_ratio = 50, bit = 4, direction = br, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = br, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = br, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = br, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = br, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tl, acc = 0.361
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tl, acc = 0.4525
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tl, acc = 0.4268
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tl, acc = 0.4845
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tl, acc = 0.4915
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tl, acc = 0.4376
