architechure = alexnet, prune_ratio = 10, bit = 8, direction = tl, acc = 0.6923
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tl, acc = 0.5975
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tl, acc = 0.7143
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tl, acc = 0.6905
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tl, acc = 0.7197
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tl, acc = 0.7215
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tl, acc = 0.6924
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tl, acc = 0.76
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tl, acc = 0.7467
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tl, acc = 0.7611
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tl, acc = 0.7633
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tl, acc = 0.7671
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tl, acc = 0.7992
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tl, acc = 0.7885
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tl, acc = 0.7984
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tl, acc = 0.7996
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tl, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tl, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tl, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tl, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tl, acc = 0.8387
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1148
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1405
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1263
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1423
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1547
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1785
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tr, acc = 0.2296
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tr, acc = 0.2062
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tr, acc = 0.2326
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tr, acc = 0.2433
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tr, acc = 0.3286
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tr, acc = 0.4304
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tr, acc = 0.4074
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tr, acc = 0.4498
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tr, acc = 0.4468
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tr, acc = 0.6034
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tr, acc = 0.6948
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tr, acc = 0.6657
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tr, acc = 0.695
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tr, acc = 0.6961
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8184
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tr, acc = 0.8353
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8322
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8374
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8387
architechure = resnet34, prune_ratio = 10, bit = 4, direction = bl, acc = 0.781
architechure = resnet34, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8161
architechure = resnet34, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8049
architechure = resnet34, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8281
architechure = resnet34, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8322
architechure = resnet34, prune_ratio = 20, bit = 4, direction = bl, acc = 0.7942
architechure = resnet34, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8379
architechure = resnet34, prune_ratio = 20, bit = 6, direction = bl, acc = 0.8264
architechure = resnet34, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8479
architechure = resnet34, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8506
architechure = resnet34, prune_ratio = 30, bit = 4, direction = bl, acc = 0.852
architechure = resnet34, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8679
architechure = resnet34, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8605
architechure = resnet34, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8698
architechure = resnet34, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8726
architechure = resnet34, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8744
architechure = resnet34, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8915
architechure = resnet34, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8903
architechure = resnet34, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8922
architechure = resnet34, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8936
architechure = resnet34, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = bl, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = br, acc = 0.7639
architechure = resnet34, prune_ratio = 10, bit = 5, direction = br, acc = 0.8025
architechure = resnet34, prune_ratio = 10, bit = 6, direction = br, acc = 0.7899
architechure = resnet34, prune_ratio = 10, bit = 7, direction = br, acc = 0.8141
architechure = resnet34, prune_ratio = 10, bit = 8, direction = br, acc = 0.8202
architechure = resnet34, prune_ratio = 20, bit = 4, direction = br, acc = 0.7897
