architechure = alexnet, prune_ratio = 50, bit = 4, direction = bl, acc = 0.5356
architechure = alexnet, prune_ratio = 50, bit = 5, direction = bl, acc = 0.588
architechure = alexnet, prune_ratio = 50, bit = 6, direction = bl, acc = 0.5893
architechure = alexnet, prune_ratio = 50, bit = 7, direction = bl, acc = 0.6035
architechure = alexnet, prune_ratio = 50, bit = 8, direction = bl, acc = 0.6025
architechure = alexnet, prune_ratio = 10, bit = 4, direction = br, acc = 0.5303
architechure = alexnet, prune_ratio = 10, bit = 5, direction = br, acc = 0.5988
architechure = alexnet, prune_ratio = 10, bit = 6, direction = br, acc = 0.5963
architechure = alexnet, prune_ratio = 10, bit = 7, direction = br, acc = 0.6109
architechure = alexnet, prune_ratio = 10, bit = 8, direction = br, acc = 0.6168
architechure = alexnet, prune_ratio = 20, bit = 4, direction = br, acc = 0.5235
architechure = alexnet, prune_ratio = 20, bit = 5, direction = br, acc = 0.5989
architechure = alexnet, prune_ratio = 20, bit = 6, direction = br, acc = 0.5968
architechure = alexnet, prune_ratio = 20, bit = 7, direction = br, acc = 0.6141
architechure = alexnet, prune_ratio = 20, bit = 8, direction = br, acc = 0.6179
architechure = alexnet, prune_ratio = 30, bit = 4, direction = br, acc = 0.5239
architechure = alexnet, prune_ratio = 30, bit = 5, direction = br, acc = 0.5887
architechure = alexnet, prune_ratio = 30, bit = 6, direction = br, acc = 0.5847
architechure = alexnet, prune_ratio = 30, bit = 7, direction = br, acc = 0.6074
architechure = alexnet, prune_ratio = 30, bit = 8, direction = br, acc = 0.6081
architechure = alexnet, prune_ratio = 40, bit = 4, direction = br, acc = 0.5186
architechure = alexnet, prune_ratio = 40, bit = 5, direction = br, acc = 0.5775
architechure = alexnet, prune_ratio = 40, bit = 6, direction = br, acc = 0.5817
architechure = alexnet, prune_ratio = 40, bit = 7, direction = br, acc = 0.5935
architechure = alexnet, prune_ratio = 40, bit = 8, direction = br, acc = 0.5941
architechure = alexnet, prune_ratio = 50, bit = 4, direction = br, acc = 0.5227
architechure = alexnet, prune_ratio = 50, bit = 5, direction = br, acc = 0.5827
architechure = alexnet, prune_ratio = 50, bit = 6, direction = br, acc = 0.5803
architechure = alexnet, prune_ratio = 50, bit = 7, direction = br, acc = 0.5994
architechure = alexnet, prune_ratio = 50, bit = 8, direction = br, acc = 0.5969
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tl, acc = 0.3037
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tl, acc = 0.3997
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tl, acc = 0.3939
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tl, acc = 0.4215
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tl, acc = 0.4257
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tl, acc = 0.2937
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tl, acc = 0.3976
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tl, acc = 0.397
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tl, acc = 0.4164
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tl, acc = 0.422
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tl, acc = 0.3106
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tl, acc = 0.3959
